id,tag,cite,fullcite,summary,spoken,fulltext,markup,hat,block,bucketId,duplicateCount,teamDisplayName,schoolDisplayName,caselistDisplayName,tournament,round,opponent,judge,year,event,level,filePath,opensourcePath
23,"Reciprocal asylum duties follow cosmopolitan justice","Osei 22","Osei, 2022, Moral Philosophy Review, ""Reciprocal Asylum Duties"", https://example.com/asylum-duties","Affluent states owe protection duties to vulnerable migrants.","Cosmopolitan justice creates reciprocal asylum duties that override restrictive border preferences.","Cosmopolitan justice creates reciprocal asylum duties that override restrictive border preferences when lives are at stake.","<p>Cosmopolitan justice creates <mark>asylum duties</mark> that override restrictive borders.</p>","contention","open borders","bucket-ld-borders-duty",5,"Greenhill ST","Greenhill","Greenhill ST","Yale","4","Lincoln HL","Navarro","2022","ld","varsity","/files/23","/wiki/23"
24,"Stablecoins cut remittance fees","Vega 22","Vega, 2022, Payments Journal, ""Stablecoin Remittances"", https://example.com/stablecoin-remittances","Stablecoins reduce the cost of cross-border transfers.","Dollar-backed digital assets make remittances cheaper and faster for migrant families.","Dollar-backed digital assets make remittances cheaper and faster for migrant families who cannot access low-fee banking.","<p>Stablecoins <mark>cut remittance fees</mark> for migrant families.</p>","contention","cryptocurrency","bucket-pf-crypto-inclusion",10,"Blake JS","Blake","Blake JS","TOC","5","Durham PM","Ellis","2022","pf","varsity","/files/24","/wiki/24"
25,"Crypto wallets bypass predatory banking fees","Park 22","Park, 2022, Digital Finance, ""Wallet Access"", https://example.com/wallet-access","Direct wallet access gives users an exit from predatory fee structures.","Cryptocurrency wallets let users avoid overdraft and wire fees that traditional banks impose.","Cryptocurrency wallets let users avoid overdraft and wire fees that traditional banks impose on low-balance customers.","<p>Crypto wallets <mark>bypass predatory fees</mark> that traditional banks impose.</p>","contention","cryptocurrency","bucket-pf-crypto-fees",8,"Blake JS","Blake","Blake JS","TOC","7","University PM","Hsu","2022","pf","varsity","/files/25","/wiki/25"
26,"Digital asset fraud hurts retail users","Wright 22","Wright, 2022, Consumer Finance Monitor, ""Retail Crypto Risk"", https://example.com/crypto-risk","Weak safeguards expose retail investors to losses and scams.","Poor disclosure and rug-pull risk make cryptocurrency dangerous for ordinary consumers.","Poor disclosure and rug-pull risk make cryptocurrency dangerous for ordinary consumers who rely on hype instead of institutional protection.","<p>Weak safeguards make crypto <mark>dangerous for ordinary consumers</mark>.</p>","contention","cryptocurrency","bucket-pf-crypto-risk",7,"University PM","University","University PM","TOC","6","Blake JS","Morris","2022","pf","varsity","/files/26","/wiki/26"
27,"Content moderation reduces teen self-harm contagion","Kim 22","Kim, 2022, Journal of Adolescent Health, ""Self-Harm Contagion Online"", https://example.com/self-harm-contagion","Moderation interrupts exposure to harmful self-harm content.","Removing self-harm content lowers contagion effects and protects vulnerable teenagers.","Removing self-harm content lowers contagion effects and protects vulnerable teenagers during high-risk periods.","<p>Moderation <mark>interrupts contagion</mark> and protects vulnerable teenagers.</p>","contention","social media","bucket-pf-health",5,"Newton South LL","Newton South","Newton South LL","Sunvite","5","Whitman PR","Allen","2022","pf","varsity","/files/27","/wiki/27"
28,"Platform bans limit harassment spirals","Torres 22","Torres, 2022, Media Policy Review, ""Harassment Spirals"", https://example.com/harassment-spirals","Deplatforming serial abusers reduces networked harassment.","Bans disrupt harassment spirals that spill over into severe mental-health harms.","Bans disrupt harassment spirals that spill over into severe mental-health harms for students and young users.","<p>Platform bans <mark>limit harassment spirals</mark> that drive mental-health harms.</p>","contention","social media","bucket-pf-health-harassment",4,"Newton South LL","Newton South","Newton South LL","Sunvite","6","Walt Whitman PR","Pena","2022","pf","varsity","/files/28","/wiki/28"
29,"Mandatory service builds durable civic trust","Lopez 22","Lopez, 2022, Civic Practice, ""Service and Trust"", https://example.com/service-trust","Structured service cultivates trust across social difference.","Community service requirements create repeated prosocial contact and durable civic trust.","Community service requirements create repeated prosocial contact and durable civic trust across class and neighborhood divides.","<p>Service requirements build <mark>durable civic trust</mark>.</p>","contention","community service","bucket-bq-service-civic",5,"Lake Highland EF","Lake Highland","Lake Highland EF","NSDA Nats","6","Plano East GH","Parker","2022","bq","varsity","/files/29","/wiki/29"
30,"Service requirements teach democratic reciprocity","Morris 22","Morris, 2022, Education and Democracy, ""Reciprocity in Schools"", https://example.com/democratic-reciprocity","Shared obligations teach students how to contribute to a common project.","Compulsory service teaches democratic reciprocity by linking rights with reciprocal obligations.","Compulsory service teaches democratic reciprocity by linking rights with reciprocal obligations and public contribution.","<p>Service requirements teach <mark>democratic reciprocity</mark>.</p>","contention","community service","bucket-bq-service-reciprocity",4,"Providence CD","Providence","Providence CD","NSDA Nats","4","Lake Highland EF","Kent","2022","bq","varsity","/files/30","/wiki/30"
31,"Compulsory service crowds out genuine altruism","Harper 22","Harper, 2022, Ethics in Education, ""Compulsion and Altruism"", https://example.com/altruism-crowding","Mandatory service can hollow out intrinsic motivation.","Forcing service turns civic action into compliance and reduces authentic altruism.","Forcing service turns civic action into compliance and reduces authentic altruism over time.","<p>Compulsory service can <mark>crowd out genuine altruism</mark>.</p>","contention","community service","bucket-bq-service-neg",4,"Bellarmine CD","Bellarmine","Bellarmine CD","NSDA Nats","5","East Chapel Hill AB","Dunn","2022","bq","varsity","/files/31","/wiki/31"
32,"Art must unsettle the powerful","Carter 21","Carter, 2021, Public Aesthetics, ""Art and Power"", https://example.com/art-power","Art matters when it disrupts settled hierarchies of comfort.","The best art unsettles the powerful and reveals moral blind spots.","The best art unsettles the powerful and reveals moral blind spots that polite discourse often hides.","<p>Great art <mark>unsettles the powerful</mark> and reveals blind spots.</p>","contention","art ethics","bucket-bq-art",4,"East Chapel Hill AB","East Chapel Hill","East Chapel Hill AB","NSDA Nats","3","Bellarmine CD","Stone","2021","bq","varsity","/files/32","/wiki/32"
33,"Great art exposes hidden violence","Basu 21","Basu, 2021, Culture Review, ""Hidden Violence in Art"", https://example.com/art-violence","Aesthetic disruption reveals violence normalized by everyday life.","Art has special value because it exposes hidden violence that polite institutions sanitize.","Art has special value because it exposes hidden violence that polite institutions sanitize and obscure.","<p>Art exposes <mark>hidden violence</mark> that institutions sanitize.</p>","contention","art ethics","bucket-bq-art",3,"East Chapel Hill AB","East Chapel Hill","East Chapel Hill AB","NSDA Nats","4","Lake Highland EF","Reyes","2021","bq","varsity","/files/33","/wiki/33"
34,"Constitutional courts check emergency powers","Sullivan 22","Sullivan, 2022, Constitutional Quarterly, ""Emergency Powers"", https://example.com/emergency-powers","Courts prevent executives from normalizing exceptional powers.","Constitutional courts stop emergency powers from hardening into permanent overreach.","Constitutional courts stop emergency powers from hardening into permanent overreach and preserve limits on detention.","<p>Constitutional courts <mark>check emergency powers</mark> and stop permanent overreach.</p>","advantage","courts","bucket-policy-courts-rights",6,"Harvard RS","Harvard","Harvard RS","Greenhill","4","MBA AM","Ibarra","2022","policy","varsity","/files/34","/wiki/34"
35,"Federal judges stop unlawful detention","Walsh 22","Walsh, 2022, Civil Liberties Forum, ""Judges and Detention"", https://example.com/unlawful-detention","Judges enforce due-process limits when detention policy exceeds statutory authority.","Federal courts stop unlawful detention policies before executive abuse becomes entrenched.","Federal courts stop unlawful detention policies before executive abuse becomes entrenched and normalize rights violations.","<p>Federal judges <mark>stop unlawful detention</mark> before abuse becomes entrenched.</p>","advantage","courts","bucket-policy-courts-rights",5,"Harvard RS","Harvard","Harvard RS","Greenhill","5","Georgetown JD","Frost","2022","policy","varsity","/files/35","/wiki/35"
36,"Taiwan deterrence prevents opportunistic invasion","Kwan 22","Kwan, 2022, Asian Security Review, ""Taiwan Deterrence"", https://example.com/taiwan-deterrence","Visible denial capabilities make opportunistic attacks unlikely.","Taiwan deterrence raises invasion costs and keeps crises short of major-power war.","Taiwan deterrence raises invasion costs and keeps crises short of major-power war by removing hopes of a quick fait accompli.","<p>Taiwan deterrence raises <mark>invasion costs</mark> and keeps crises below major war.</p>","advantage","us china war","bucket-policy-war-taiwan",6,"Georgetown JD","Georgetown","Georgetown JD","Greenhill","5","Northwestern MN","Hale","2022","policy","varsity","/files/36","/wiki/36"
37,"Cryptocurrency improves payment resilience in fragile banking systems","Ibarra 22","Ibarra, 2022, Emerging Markets Finance, ""Payment Resilience"", https://example.com/payment-resilience","Crypto rails offer a backup when local banks fail or freeze.","Cryptocurrency gives users a resilient payment rail when fragile banking systems break down.","Cryptocurrency gives users a resilient payment rail when fragile banking systems break down during capital-control shocks.","<p>Cryptocurrency creates a <mark>resilient payment rail</mark> during banking breakdowns.</p>","contention","cryptocurrency","bucket-pf-crypto-inclusion",9,"Blake JS","Blake","Blake JS","TOC","8","Durham PM","Cross","2022","pf","varsity","/files/37","/wiki/37"
38,"Community service deepens local belonging","Perez 22","Perez, 2022, Youth Civic Life, ""Belonging Through Service"", https://example.com/local-belonging","Shared service makes students feel responsible for the places they inhabit.","Community service deepens local belonging by making students directly responsible to neighbors.","Community service deepens local belonging by making students directly responsible to neighbors and visible community needs.","<p>Community service deepens <mark>local belonging</mark> and neighborly responsibility.</p>","contention","community service","bucket-bq-service-civic",4,"Lake Highland EF","Lake Highland","Lake Highland EF","NSDA Nats","7","Providence CD","Flores","2022","bq","varsity","/files/38","/wiki/38"
39,"Deterrence preserves crisis stability in multipolar rivalry","Stein 22","Stein, 2022, Global Security Forum, ""Multipolar Crisis Stability"", https://example.com/multipolar-crisis-stability","Deterrence still matters when several rivals interact across theaters.","Deterrence preserves crisis stability even under multipolar rivalry by clarifying costs.","Deterrence preserves crisis stability even under multipolar rivalry by clarifying costs and narrowing incentives for rapid escalation.","<p>Deterrence preserves <mark>crisis stability</mark> under multipolar rivalry.</p>","contention","deterrence","bucket-ld-deterrence-crisis",7,"Westwood AC","Westwood","Westwood AC","Harvard","5","Harker XZ","Porter","2022","ld","varsity","/files/39","/wiki/39"
40,"Courts force agency compliance on emissions deadlines","Fields 22","Fields, 2022, Administrative Law Review, ""Agency Deadlines"", https://example.com/agency-deadlines","Courts compel agencies to obey statutory climate deadlines.","When agencies miss statutory deadlines, courts force rapid compliance and emissions enforcement.","When agencies miss statutory deadlines, courts force rapid compliance and emissions enforcement through mandatory scheduling orders.","<p>Courts force <mark>agency compliance</mark> on emissions deadlines.</p>","solvency","courts","bucket-policy-courts-methane",5,"Michigan KM","Michigan","Michigan KM","Glenbrooks","6","Berkeley CP","Olsen","2022","policy","varsity","/files/40","/wiki/40"
